file,format,file_size_kb,text_len,n_tables,n_images,extract_method,error
한국농어촌공사_네팔 수자원관리 정보화사업-Pilot 시스템 구축용역.hwp,hwp,6767.5,76674,80,15,hwp5html,
한국농어촌공사_아세안+3 식량안보정보시스템(AFSIS) 3단계 협력(캄보디아.hwp,hwp,7847.0,0,0,6,hwp5html,
한국로봇산업진흥원_한국로봇산업진흥원 사업관리시스템 온라인평가 .hwp,hwp,1023.5,50133,79,4,hwp5html,
한국발명진흥회 입찰공고_2024년 건설기술에 관한 특허·실용신안 활용실.hwp,hwp,928.0,56349,149,8,hwp5html,
한국보건산업진흥원_의료기기산업 종합정보시스템(정보관리기관) 기능.hwp,hwp,808.0,70665,144,5,hwp5html,
한국보육진흥원_연차별 자율 품질관리 시스템 기능개선.hwp,hwp,1330.0,63426,144,5,hwp5html,
한국사학진흥재단_대학재정정보시스템(기본재산 및 기채 사후관리) 고.hwp,hwp,2518.0,100579,170,7,hwp5html,
한국사회보장정보원_라오스 보건의료정보화 협력을 위한 사전타당성 조.hwp,hwp,283.5,51031,66,1,hwp5html,
한국산업단지공단_산단 안전정보시스템 1차 구축 용역.hwp,hwp,587.0,89501,171,2,hwp5html,
한국산업인력공단_RFID기반 국가자격 시험 결과물 스마트 관리시스템 도.hwp,hwp,802.0,49509,98,2,hwp5html,
한국생산기술연구원_2세대 전자조달시스템  기반구축사업.hwp,hwp,1311.0,71334,118,5,hwp5html,
한국생산기술연구원_EIP3.0 고압가스 안전관리 시스템 구축 용역.hwp,hwp,1442.0,98845,154,8,hwp5html,
한국수자원공사_건설통합시스템(CMS) 고도화.hwp,hwp,798.0,63880,121,3,hwp5html,
한국수자원공사_수도사업장 통합 사고분석솔루션 시범구축 용역.hwp,hwp,5293.0,12807,0,13,hwp5txt,
한국수자원공사_용인 첨단 시스템반도체 국가산단 용수공급사업 타당성.hwp,hwp,143.5,49074,12,1,hwp5html,
한국수자원조사기술원_수문자료정보관리시스템(HDIMS) 재구축 용역(3단계.hwp,hwp,2150.5,16272,0,3,hwp5txt,
한국수출입은행_(긴급) 모잠비크 마푸토 지능형교통시스템(ITS) 구축사업.hwp,hwp,2336.0,68054,91,4,hwp5html,
한국어촌어항공단_한국어촌어항공단 경영관리시스템(ERP·GW) 기능 고도.hwp,hwp,946.5,82254,156,4,hwp5html,
한국연구재단_2024년 기초학문자료센터 시스템 운영 및 연구성과물 DB구.hwp,hwp,1576.0,67194,102,7,hwp5html,
한국연구재단_2024년 대학산학협력활동 실태조사 시스템(UICC) 기능개선.hwp,hwp,4144.0,68133,152,14,hwp5html,
한국원자력연구원_한국원자력연구원 선량평가시스템 고도화.hwp,hwp,1469.5,43506,87,3,hwp5html,
한국재정정보원_e나라도움 업무시스템 웹 접근성 컨설팅.hwp,hwp,604.0,71351,84,3,hwp5html,
한국전기안전공사_전기안전 관제시스템 보안 모듈 개발 용역.hwp,hwp,913.5,48706,74,7,hwp5html,
한국지식재산보호원_IP-NAVI  해외지식재산센터 사업관리 시스템 기능개.hwp,hwp,262.5,51817,89,1,hwp5html,
한국철도공사 (용역)_[재공고][긴급][협상형]운행정보기록 자동분석시스.hwp,hwp,928.0,109013,160,7,hwp5html,
한국철도공사 (용역)_모바일오피스 시스템 고도화 용역(총체 및 1차).hwp,hwp,1360.0,41844,0,7,hwp5txt,hwp5html_timeout
한국철도공사 (용역)_예약발매시스템 개량 ISMP 용역.hwp,hwp,1600.0,72399,116,23,hwp5html,
한국한의학연구원_통합정보시스템 고도화 용역.hwp,hwp,848.5,60174,140,5,hwp5html,
한국해양조사협회_2024년 항해용 간행물 품질관리 업무보조 시스템 구축.hwp,hwp,1905.0,58799,77,6,hwp5html,
한영대학_한영대학교 특성화 맞춤형 교육환경 구축 - 트랙운영 학사정보.hwp,hwp,247.0,42730,110,1,hwp5html,
고려대학교_차세대 포털·학사 정보시스템 구축사업.pdf,pdf,7089.9,188943,387,343,pdfplumber,
기초과학연구원_2025년도 중이온가속기용 극저온시스템 운전 용역.pdf,pdf,627.1,45078,54,21,pdfplumber,
서울시립대학교_[사전공개] 학업성취도 다차원 종단분석 통합시스템 1차.pdf,pdf,2199.5,109430,168,24,pdfplumber,
서울특별시_2024년 지도정보 플랫폼 및 전문활용 연계 시스템 고도화 용.pdf,pdf,3119.9,114796,154,39,pdfplumber,
